,title,release_date,popularity,vote_average,vote_count
313,The Passion of Joan of Arc,4/21/1928,3.0414,7.984,1013
314,North by Northwest,8/6/1959,4.315,8,4274
315,The Count of Monte Cristo,6/28/2024,9.6287,7.979,1727
316,Catch Me If You Can,12/16/2002,12.5957,7.978,16257
317,The Secret in Their Eyes,8/13/2009,4.1613,7.976,2673
318,Nobody Knows,8/7/2004,2.8918,7.976,576
319,The Hidden Fortress,12/28/1958,2.6611,8,651
320,"Red, White & Royal Blue",7/27/2023,10.4485,7.975,1409
321,All Your Faces,3/29/2023,1.8296,7.973,619
322,Autumn Sonata,10/8/1978,1.9367,8,643
323,Castle in the Sky,8/2/1986,4.5365,7.972,4399
324,The Red Shoes,9/6/1948,1.5986,7.971,697
325,Andrei Rublev,12/16/1966,1.8836,7.971,881
326,Kill Bill: Vol. 1,10/10/2003,9.5867,7.971,18049
327,I'm Still Here,9/19/2024,5.5918,7.971,756
328,Bohemian Rhapsody,10/24/2018,7.1169,7.97,17241
329,Toy Story,11/22/1995,17.0281,7.97,19021
330,Chungking Express,7/14/1994,4.7214,7.966,1982
331,La Notte,1/24/1961,1.6335,7.966,703
332,Love Exposure,1/31/2009,1.8135,8,478
333,Before Sunrise,1/27/1995,5.7934,7.965,4361
334,Three Men and a Leg,12/27/1997,1.1667,7.963,2106
335,Trainspotting,2/23/1996,6.2013,8,9962
336,Jurassic Park,6/11/1993,14.4688,7.96,17002
337,Kitbull,1/18/2019,1.9922,7.958,382
338,Up,5/28/2009,13.425,8,20854
339,The Way He Looks,4/10/2014,2.1283,7.957,959
340,Sanjuro,1/1/1962,1.8663,7.957,657
341,Mirror,3/7/1975,2.8145,7.956,1010
342,Million Dollar Baby,12/5/2004,6.1761,7.955,9913
343,Whisper of the Heart,7/15/1995,4.1213,8,2123
344,Tel chi el telùn,5/12/1999,0.3929,7.954,328
345,Aliens,7/18/1986,10.4196,7.954,10233
346,Nausicaä of the Valley of the Wind,3/11/1984,5.2306,7.951,3791
347,The Iron Giant,8/6/1999,6.6559,7.95,5841
348,The Treasure of the Sierra Madre,1/15/1948,2.6817,7.95,1257
349,The Sixth Sense,8/6/1999,8.9181,7.95,12175
350,Flamin' Hot,3/11/2023,7.575,7.95,733
351,Pink Floyd: The Wall,7/14/1982,2.6893,7.949,1549
352,Ordet,1/9/1955,0.9908,7.9,384
353,The Exterminating Angel,5/16/1962,1.556,7.948,694
354,Farewell My Concubine,1/1/1993,3.374,7.9,619
355,A Man Escaped,11/11/1956,1.7616,7.9,570
356,No Country for Old Men,6/13/2007,14.076,7.946,12544
357,The General,12/25/1926,2.2384,7.945,1324
358,The Boy and the Beast,7/11/2015,2.7843,7.944,1525
359,Spider-Man: No Way Home,12/15/2021,29.2018,7.943,20978
360,The Great Escape,7/3/1963,5.9091,7.943,2664
361,Rope,3/11/1948,2.8282,7.943,2832
362,Braveheart,5/24/1995,9.4661,7.943,10535
363,Blade Runner,6/25/1982,10.0339,7.941,14281
364,Castaway on the Moon,5/14/2009,2.0239,7.94,699
365,Akira,6/10/1988,6.6578,7.94,4470
366,12 Years a Slave,10/18/2013,6.5999,7.939,11544
367,Close-Up,5/9/1990,1.1857,7.9,411
368,The Circus,1/6/1928,1.9892,7.935,834
369,Guardians of the Galaxy Vol. 3,5/3/2023,14.9886,7.934,7548
370,When Marnie Was There,7/19/2014,3.7214,7.9,1871
371,Don't Look Now... We're Being Shot At!,12/8/1966,3.0427,7.9,1398
372,The Cure,4/21/1995,1.0755,7.9,321
373,The Cabinet of Dr. Caligari,2/27/1920,2.142,7.933,1669
374,Miraculous World: Shanghai - The Legend of Ladydragon,5/15/2021,3.2993,7.9,667
375,Raise the Red Lantern,12/18/1991,2.1355,7.932,749
376,Me Before You,6/1/2016,18.7649,7.93,12774
377,The Postman,4/7/1994,1.336,7.93,1166
378,It's Such a Beautiful Day,8/24/2012,0.6736,7.9,346
379,"Batman: The Dark Knight Returns, Part 2",1/3/2013,3.4614,7.9,1534
380,Ivan Vasilyevich Changes His Profession,9/17/1973,1.1159,7.9,373
381,Predator: Killer of Killers,6/5/2025,39.8233,7.93,783
382,Monster,6/2/2023,5.3627,7.926,730
383,Where Is The Friend's House?,7/1/1987,2.0703,7.926,392
384,Ghost in the Shell,11/18/1995,5.8309,7.926,3603
385,Raging Bull,11/14/1980,6.0335,7.927,4493
386,Gone with the Wind,12/15/1939,6.1757,7.9,4176
387,Raiders of the Lost Ark,6/12/1981,9.0562,7.925,13000
388,Freedom Writers,1/5/2007,3.9826,7.9,2331
389,Tokyo Godfathers,12/5/2003,2.4056,7.922,1374
390,Heat,12/15/1995,10.208,7.921,7730
391,Dallas Buyers Club,11/1/2013,3.8508,7.92,8693
392,Simone: Woman of the Century,10/12/2022,0.6826,7.919,359
393,Ne Zha,7/26/2019,72.533,7.919,594
394,The Cranes Are Flying,10/12/1957,2.944,7.919,413
395,Dersu Uzala,8/2/1975,1.6903,7.919,574
396,Chinatown,6/20/1974,4.4543,7.918,3995
397,Diabolique,1/29/1955,2.493,7.918,1023
398,Suzume,11/11/2022,7.1694,7.917,1521
399,Where Hands Touch,9/14/2018,2.2797,7.917,521
400,Yi Yi,9/20/2000,3.221,7.9,580
401,CODA,8/13/2021,6.7927,7.916,2376
402,Nobody,3/18/2021,14.495,7.916,7526
403,Throne of Blood,1/15/1957,3.0498,7.9,917
404,Death Note Relight 1: Visions of a God,9/23/2009,8.0086,7.9,363
405,Children of Heaven,8/1/1997,2.6914,7.915,667
406,The Third Man,8/31/1949,3.6026,7.915,1976
407,Unforgiven,8/7/1992,5.2757,7.915,4642
408,Amélie,4/25/2001,8.1339,7.914,11883
409,We Are the Nobles,3/28/2013,2.2513,7.913,514
410,About Time,9/4/2013,7.9244,7.9,8828
411,I'm No Longer Here,10/21/2019,1.805,7.912,506
412,La Strada,9/23/1954,1.6337,7.912,1107
413,Inside Out,6/17/2015,15.0109,7.9,22674
414,Three Colors: Red,5/12/1994,3.4124,7.911,1457
415,A Trip to the Moon,6/15/1902,1.875,7.9,1870
416,Forgotten,11/29/2017,3.9291,7.908,1203
417,Limelight,10/16/1952,2.0858,7.908,557
418,Amarcord,12/18/1973,1.5679,7.908,1147
419,What Ever Happened to Baby Jane?,10/31/1962,3.3533,7.907,1096
420,Cries and Whispers,12/21/1972,1.7607,7.9,728
421,Army of Shadows,9/10/1969,2.2865,7.9,687
422,Faust,10/13/1926,1.1153,7.9,371
423,My Hero Academia: Two Heroes,8/3/2018,3.9165,7.9,1053
424,A Street Cat Named Bob,11/4/2016,2.75,7.905,1484
425,Mulan,6/18/1998,11.4103,7.905,10048
426,Return of the Jedi,5/25/1983,6.835,7.905,16231
427,Titanic,11/18/1997,24.468,7.905,26216
428,Guardians of the Galaxy,7/30/2014,8.476,7.904,28745
429,Divorce Italian Style,12/20/1961,1.3326,7.9,495
430,Dragon Ball Super: Broly,12/14/2018,1.2593,7.903,3009
431,Miracle in Cell No. 7,1/23/2013,1.9253,7.903,460
432,La Maison en Petits Cubes,6/10/2008,0.9738,7.902,439
433,Harry Potter and the Philosopher's Stone,11/16/2001,32.6214,7.902,28467
434,In the Name of the Father,12/12/1993,3.2009,7.901,1836
435,"No manches, Frida 2: paraíso destruido",3/15/2019,4.2104,7.898,922
436,La La Land,12/1/2016,9.4683,7.899,17425
437,V for Vendetta,2/23/2006,7.6513,7.898,14925
438,Rebecca,3/23/1940,3.0073,7.9,1854
439,A Whisker Away,6/18/2020,4.2766,7.9,1430
440,Regular Show: The Movie,9/1/2015,1.9711,7.9,404
441,Coraline,2/5/2009,17.5123,7.897,8492
442,In This Corner of the World,11/12/2016,1.9467,7.896,579
443,On the Waterfront,6/22/1954,3.0155,7.895,1655
444,STRAW,6/5/2025,24.482,7.894,780
445,The Witch: Part 1. The Subversion,6/27/2018,8.4209,7.894,653
446,My Father's Violin,1/21/2022,1.2693,7.893,335
447,Young Woman and the Sea,5/31/2024,2.7356,7.893,361
448,The Boy Who Harnessed the Wind,2/14/2019,5.2294,7.893,1759
449,Captain Fantastic,7/8/2016,3.7531,7.893,6576
450,Winter Light,2/11/1963,1.3113,7.9,468
451,The Miracle Worker,5/23/1962,1.7699,7.892,318
452,Dragon Ball Super: Super Hero,6/11/2022,5.7844,7.891,2914
453,The Pursuit of Happyness,12/14/2006,8.2113,7.891,10159
454,Dogman,9/27/2023,6.9836,7.89,1231
455,Gone Girl,10/1/2014,15.2051,7.9,19171
456,The Notebook,5/25/2004,13.3422,7.9,12010
457,Persepolis,6/27/2007,2.5944,7.889,2028
458,Ben-Hur,11/18/1959,6.0298,7.9,2927
459,A Separation,2/15/2011,2.6036,7.888,1827
460,Umberto D.,1/20/1952,1.1924,7.888,710
